2008,1,3,50000,Daily_ret,STD_daily_ret,Total Return,average Daily_ret,Sharpe
2009,10,15,59447,6.72914E-05,,,,
2009,10,16,59418,-0.000487829,,,,
2009,10,19,59443,0.000420748,,,,
2009,10,20,59362,-0.00136265,,,,
2009,10,21,59203,-0.002678481,,,,
2009,10,22,59403,0.003378207,,,,
2009,10,23,59265,-0.002323115,,,,
2009,10,26,59136,-0.002176664,,,,
2009,10,27,58928,-0.003517316,,,,
2009,10,28,58566,-0.00614309,,,,
2009,10,29,58978,0.007034798,,,,
2009,10,30,58833,-0.002458544,,,,
2009,11,2,58793,-0.000679891,,,,
2009,11,3,58955,0.00275543,,,,
2009,11,4,58823,-0.002238996,,,,
2009,11,5,58933,0.001870017,,,,
2009,11,6,58879,-0.000916295,,,,
2009,11,9,59110,0.0039233,,,,
2009,11,10,59100,-0.000169176,,,,
2009,11,11,59126,0.000439932,,,,
2009,11,12,59125,-1.6913E-05,,,,
2009,11,13,59118,-0.000118393,,,,
2009,11,16,59138,0.000338306,,,,
2009,11,17,59118,-0.000338192,,,,
2009,11,18,59160,0.000710444,,,,
2009,11,19,59139,-0.00035497,,,,
2009,11,20,59107,-0.000541098,,,,
2009,11,23,59140,0.00055831,,,,
2009,11,24,59102,-0.000642543,,,,
2009,11,25,59122,0.000338398,,,,
2009,11,27,58987,-0.002283414,,,,
2009,11,30,59077,0.00152576,,,,
2009,12,1,59138,0.001032551,,,,
2009,12,2,59211,0.001234401,,,,
2009,12,3,59174,-0.000624884,,,,
2009,12,4,59257,0.001402643,,,,
2009,12,7,59415,0.002666352,,,,
2009,12,8,59476,0.001026677,,,,
2009,12,9,59517,0.000689354,,,,
2009,12,10,59527,0.000168019,,,,
2009,12,11,59560,0.00055437,,,,
2009,12,14,59645,0.001427132,,,,
2009,12,15,59633,-0.00020119,,,,
2009,12,16,59662,0.000486308,,,,
2009,12,17,59651,-0.000184372,,,,
2009,12,18,59704,0.000888501,,,,
2009,12,21,59759,0.000921211,,,,
2009,12,22,59801,0.000702823,,,,
2009,12,23,59801,0,,,,
2009,12,24,59830,0.000484942,,,,
2009,12,28,59805,-0.000417851,,,,
2009,12,29,59807,3.3442E-05,,,,
2009,12,30,59789,-0.000300968,,,,
2009,12,31,59789,0,,,,
